Date,Method,Window,Mode,Hub_ticker,Hub_degree,Hub_tied,Hub_sector,N_nodes,Is_dominant_hub
2019-10-03,symbolic,240,strict,GAPB.MX,6,False,Airports,35,True
2019-10-04,symbolic,240,strict,FEMSAUBD.MX,5,True,Consumer,35,False
2019-10-07,symbolic,240,strict,GAPB.MX,5,True,Airports,35,True
2019-10-08,symbolic,240,strict,GAPB.MX,6,False,Airports,35,True
2019-10-09,symbolic,240,strict,GAPB.MX,5,True,Airports,35,True
2019-10-10,symbolic,240,strict,SIGMAFA.MX,6,False,Consumer,35,False
2019-10-11,symbolic,240,strict,SIGMAFA.MX,6,False,Consumer,35,False
2019-10-14,symbolic,240,strict,SIGMAFA.MX,6,False,Consumer,35,False
2019-10-15,symbolic,240,strict,SIGMAFA.MX,6,False,Consumer,35,False
2019-10-16,symbolic,240,strict,SIGMAFA.MX,6,False,Consumer,35,False
2019-10-17,symbolic,240,strict,SIGMAFA.MX,5,False,Consumer,35,False
2019-10-18,symbolic,240,strict,SIGMAFA.MX,5,False,Consumer,35,False
2019-10-21,symbolic,240,strict,BIMBOA.MX,5,True,Consumer,35,False
2019-10-22,symbolic,240,strict,BIMBOA.MX,4,True,Consumer,35,False
2019-10-23,symbolic,240,strict,BIMBOA.MX,5,False,Consumer,35,False
2019-10-24,symbolic,240,strict,PINFRA.MX,4,True,Infrastructure,35,False
2019-10-25,symbolic,240,strict,PINFRA.MX,4,True,Infrastructure,35,False
2019-10-28,symbolic,240,strict,GAPB.MX,4,True,Airports,35,True
2019-10-29,symbolic,240,strict,BIMBOA.MX,5,False,Consumer,35,False
2019-10-30,symbolic,240,strict,GAPB.MX,4,True,Airports,35,True
2019-10-31,symbolic,240,strict,BIMBOA.MX,5,False,Consumer,35,False
2019-11-01,symbolic,240,strict,BIMBOA.MX,5,False,Consumer,35,False
2019-11-04,symbolic,240,strict,BIMBOA.MX,7,False,Consumer,35,False
2019-11-05,symbolic,240,strict,BIMBOA.MX,5,True,Consumer,35,False
2019-11-06,symbolic,240,strict,BIMBOA.MX,5,True,Consumer,35,False
2019-11-07,symbolic,240,strict,BIMBOA.MX,5,True,Consumer,35,False
2019-11-08,symbolic,240,strict,BIMBOA.MX,5,False,Consumer,35,False
2019-11-11,symbolic,240,strict,GAPB.MX,5,True,Airports,35,True
2019-11-12,symbolic,240,strict,GAPB.MX,7,False,Airports,35,True
2019-11-13,symbolic,240,strict,GAPB.MX,7,False,Airports,35,True
2019-11-14,symbolic,240,strict,GAPB.MX,7,False,Airports,35,True
2019-11-15,symbolic,240,strict,GAPB.MX,6,False,Airports,35,True
2019-11-19,symbolic,240,strict,GAPB.MX,7,False,Airports,35,True
2019-11-20,symbolic,240,strict,GAPB.MX,7,False,Airports,35,True
2019-11-21,symbolic,240,strict,GAPB.MX,6,False,Airports,35,True
2019-11-22,symbolic,240,strict,GAPB.MX,6,False,Airports,35,True
2019-11-25,symbolic,240,strict,GAPB.MX,6,False,Airports,35,True
2019-11-26,symbolic,240,strict,GAPB.MX,6,False,Airports,35,True
2019-11-27,symbolic,240,strict,GAPB.MX,6,False,Airports,35,True
2019-11-28,symbolic,240,strict,GAPB.MX,6,False,Airports,35,True
2019-11-29,symbolic,240,strict,GAPB.MX,7,False,Airports,35,True
2019-12-02,symbolic,240,strict,GAPB.MX,7,False,Airports,35,True
2019-12-03,symbolic,240,strict,GAPB.MX,7,False,Airports,35,True
2019-12-04,symbolic,240,strict,GAPB.MX,7,False,Airports,35,True
2019-12-05,symbolic,240,strict,GAPB.MX,6,False,Airports,35,True
2019-12-06,symbolic,240,strict,GAPB.MX,7,False,Airports,35,True
2019-12-09,symbolic,240,strict,GAPB.MX,7,False,Airports,35,True
2019-12-10,symbolic,240,strict,GAPB.MX,8,False,Airports,35,True
2019-12-11,symbolic,240,strict,GAPB.MX,8,False,Airports,35,True
2019-12-13,symbolic,240,strict,GAPB.MX,7,False,Airports,35,True
2019-12-16,symbolic,240,strict,GAPB.MX,6,False,Airports,35,True
2019-12-17,symbolic,240,strict,GAPB.MX,7,False,Airports,35,True
2019-12-18,symbolic,240,strict,GAPB.MX,8,False,Airports,35,True
2019-12-19,symbolic,240,strict,GAPB.MX,8,False,Airports,35,True
2019-12-20,symbolic,240,strict,GAPB.MX,9,False,Airports,35,True
2019-12-23,symbolic,240,strict,GAPB.MX,8,False,Airports,35,True
2019-12-24,symbolic,240,strict,GAPB.MX,8,False,Airports,35,True
2019-12-26,symbolic,240,strict,GAPB.MX,8,False,Airports,35,True
2019-12-27,symbolic,240,strict,GAPB.MX,7,False,Airports,35,True
2019-12-30,symbolic,240,strict,GAPB.MX,5,False,Airports,35,True
2019-12-31,symbolic,240,strict,GAPB.MX,7,False,Airports,35,True
2020-01-02,symbolic,240,strict,GAPB.MX,6,False,Airports,35,True
2020-01-03,symbolic,240,strict,GFNORTEO.MX,5,True,Financial,35,False
2020-01-06,symbolic,240,strict,GAPB.MX,6,False,Airports,35,True
2020-01-07,symbolic,240,strict,GAPB.MX,8,False,Airports,35,True
2020-01-08,symbolic,240,strict,GAPB.MX,8,False,Airports,35,True
2020-01-09,symbolic,240,strict,GAPB.MX,8,False,Airports,35,True
2020-01-10,symbolic,240,strict,GAPB.MX,8,False,Airports,35,True
2020-01-13,symbolic,240,strict,GAPB.MX,9,False,Airports,35,True
